id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Budidaya_Rumput_Laut,Tahun,Volume_Produksi_Kg,Nilai_Produksi_Rp
322.,33.,JAWA TENGAH,JEPARA,RUMPUT LAUT SPINOSUM,2021.,32733980.,39280776000.
323.,33.,JAWA TENGAH,KOTA TEGAL,RUMPUT LAUT GRACILARIA,2021.,160950.,724275000.
324.,35.,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT COTTONII,2021.,4190000.,9218000000.
325.,35.,JAWA TIMUR,SITUBONDO,RUMPUT LAUT COTTONII,2021.,1597300.,3194600000.
326.,35.,JAWA TIMUR,SUMENEP,RUMPUT LAUT COTTONII,2021.,663470712.,3317353560000.
327.,61.,KALIMANTAN BARAT,BENGKAYANG,RUMPUT LAUT SPINOSUM,2021.,10200.,40800000.
328.,61.,KALIMANTAN BARAT,KAYONG UTARA,RUMPUT LAUT COTTONII,2021.,10942.,43768000.
329.,64.,KALIMANTAN TIMUR,KOTA BALIKPAPAN,RUMPUT LAUT COTTONII,2021.,159596.,797980000.
330.,64.,KALIMANTAN TIMUR,KOTA BONTANG,RUMPUT LAUT SPINOSUM,2021.,4302440.,13985610000.
331.,64.,KALIMANTAN TIMUR,KUTAI KARTANEGARA,RUMPUT LAUT COTTONII,2021.,780877.,4673013000.
332.,64.,KALIMANTAN TIMUR,KUTAI TIMUR,RUMPUT LAUT SPINOSUM,2021.,110924.,332772000.
333.,65.,KALIMANTAN UTARA,KOTA TARAKAN,RUMPUT LAUT COTTONII,2021.,109888400.,197799120000.
334.,65.,KALIMANTAN UTARA,KOTA TARAKAN,RUMPUT LAUT SPINOSUM,2021.,101757199.,305271597000.
335.,65.,KALIMANTAN UTARA,NUNUKAN,RUMPUT LAUT COTTONII,2021.,416229854.,531607783008.
336.,21.,KEPULAUAN RIAU,KARIMUN,RUMPUT LAUT COTTONII,2021.,502000.,602400000.
337.,21.,KEPULAUAN RIAU,KARIMUN,RUMPUT LAUT SPINOSUM,2021.,502000.,2510000000.
338.,21.,KEPULAUAN RIAU,KOTA BATAM,RUMPUT LAUT SPINOSUM,2021.,717010.,860412000.
339.,21.,KEPULAUAN RIAU,NATUNA,RUMPUT LAUT COTTONII,2021.,33000.,39600000.
340.,18.,LAMPUNG,LAMPUNG SELATAN,RUMPUT LAUT SPINOSUM,2021.,4999672.,9999344000.
341.,81.,MALUKU,KAB MALUKU TENGGARA BARAT,RUMPUT LAUT COTTONII,2021.,28875067.,144375335000.
342.,81.,MALUKU,KEPULAUAN ARU,RUMPUT LAUT COTTONII,2021.,7833754.,23501262000.
343.,81.,MALUKU,KOTA AMBON,RUMPUT LAUT COTTONII,2021.,4787.,23935000.
344.,81.,MALUKU,KOTA AMBON,RUMPUT LAUT LAINNYA,2021.,20990.,104950000.
345.,81.,MALUKU,KOTA TUAL,RUMPUT LAUT COTTONII,2021.,190888000.,358995250000.
346.,81.,MALUKU,MALUKU BARAT DAYA,RUMPUT LAUT COTTONII,2021.,34155787.,43530207750.
347.,81.,MALUKU,MALUKU TENGGARA,RUMPUT LAUT COTTONII,2021.,31442600.,55024550000.
348.,81.,MALUKU,SERAM BAGIAN BARAT,RUMPUT LAUT COTTONII,2021.,7000.,21000000.
349.,81.,MALUKU,SERAM BAGIAN TIMUR,RUMPUT LAUT COTTONII,2021.,35562.,177810000.
